iter	RMSE
0	10.77209367
1	8.77761209
2	7.346270673
3	6.508408778
4	6.118160733
5	5.920243642
6	5.704673197
7	5.616535606
8	5.471014172
9	5.445013162
10	5.424284987
11	5.407165524
12	5.337776198
13	5.279704115
14	5.194820091
15	5.139135552
16	5.105256291
17	5.055621525
18	4.941842562
19	4.902316728
20	4.82228058
21	4.758178179
22	4.715652554
23	4.655785386
24	4.581446884
25	4.545680923
26	4.498539736
27	4.477723169
28	4.423317354
29	4.391580609
30	4.371262249
31	4.316466053
32	4.294086652
33	4.241512537
34	4.189093938
35	4.18582032
36	4.170592509
37	4.141210006
38	4.108072776
39	4.065210147
40	4.052590949
41	4.034009203
42	3.989889892
43	3.946870298
44	3.914751866
45	3.883876906
46	3.83888896
47	3.809594714
48	3.778469184
49	3.775558071
