iter	Passed	Remaining
0	140	140421
1	141	70590
2	142	47292
3	142	35593
4	143	28619
5	144	23960
6	145	20619
7	146	18111
8	146	16157
9	147	14591
10	148	13318
11	148	12253
12	149	11366
13	150	10599
14	151	9932
15	152	9357
16	152	8845
17	153	8387
18	154	7975
19	155	7606
20	156	7282
21	157	6984
22	157	6705
23	158	6449
24	159	6213
25	160	5996
26	160	5795
27	161	5608
28	162	5443
29	163	5283
30	164	5129
31	164	4987
32	165	4855
33	166	4730
34	167	4612
35	168	4509
36	169	4407
37	170	4306
38	170	4209
39	171	4116
40	172	4031
41	173	3948
42	173	3869
43	174	3796
44	175	3727
45	176	3656
46	177	3589
47	177	3525
48	178	3464
49	179	3404
50	179	3348
51	180	3297
52	181	3246
53	182	3196
54	183	3146
55	183	3098
56	184	3052
57	185	3008
58	186	2966
59	187	2931
60	187	2891
61	188	2853
62	189	2817
63	190	2781
64	190	2745
65	191	2712
66	192	2679
67	193	2652
68	194	2623
69	195	2600
70	196	2569
71	197	2540
72	197	2512
73	198	2484
74	199	2460
75	200	2434
76	200	2409
77	201	2384
78	202	2359
79	203	2335
80	203	2312
81	204	2289
82	204	2263
83	205	2245
84	206	2225
85	207	2205
86	208	2186
87	209	2166
88	209	2146
89	210	2128
90	211	2110
91	212	2094
92	213	2078
93	213	2060
94	214	2044
95	215	2027
96	216	2011
97	216	1994
98	217	1978
99	218	1964
100	219	1949
101	219	1934
102	220	1921
103	221	1907
104	222	1892
105	222	1878
106	223	1865
107	224	1853
108	225	1841
109	226	1829
110	226	1816
111	227	1804
112	228	1792
113	229	1780
114	229	1768
115	230	1758
116	231	1746
117	232	1735
118	232	1724
119	233	1713
120	234	1703
121	235	1691
122	235	1681
123	236	1671
124	237	1663
125	238	1653
126	239	1643
127	239	1633
128	240	1623
129	241	1613
130	241	1604
131	242	1595
132	243	1587
133	244	1579
134	245	1570
135	245	1562
136	246	1553
137	247	1545
138	248	1536
139	248	1528
140	249	1521
141	250	1512
142	251	1505
143	251	1497
144	252	1490
145	253	1482
146	254	1475
147	254	1467
148	255	1461
149	256	1454
150	257	1447
151	258	1440
152	258	1433
153	259	1425
154	260	1419
155	261	1412
156	261	1405
157	262	1399
158	263	1395
159	264	1389
160	265	1381
161	265	1375
162	266	1368
163	267	1362
164	268	1356
165	269	1351
166	269	1345
167	270	1339
168	271	1333
169	272	1328
170	272	1322
171	273	1316
172	274	1310
173	275	1306
174	275	1301
175	276	1295
176	277	1292
177	278	1286
178	279	1280
179	280	1275
180	280	1271
181	281	1266
182	282	1261
183	283	1256
184	284	1251
185	284	1246
186	285	1241
187	286	1236
188	287	1231
189	287	1227
190	288	1223
191	289	1218
192	290	1213
193	291	1209
194	291	1204
195	292	1199
196	293	1195
197	294	1191
198	294	1187
199	295	1182
200	296	1178
201	297	1174
202	297	1169
203	298	1165
204	299	1160
205	300	1156
206	300	1152
207	301	1149
208	302	1145
209	303	1140
210	303	1136
211	304	1132
212	305	1128
213	306	1124
214	307	1121
215	307	1117
216	308	1113
217	309	1109
218	309	1105
219	310	1101
220	311	1097
221	312	1093
222	312	1090
223	313	1087
224	314	1083
225	315	1080
226	316	1076
227	316	1072
228	317	1069
229	318	1065
230	319	1062
231	320	1059
232	320	1056
233	321	1052
234	322	1049
235	323	1045
236	323	1042
237	324	1039
238	325	1035
239	326	1032
240	326	1029
241	327	1026
242	328	1022
243	329	1019
244	329	1016
245	330	1013
246	331	1010
247	332	1007
248	333	1005
249	334	1002
250	334	999
251	335	996
252	336	993
253	337	990
254	338	988
255	339	986
256	340	984
257	341	981
258	342	979
259	343	976
260	344	974
261	345	972
262	346	969
263	346	967
264	348	965
265	349	963
266	350	961
267	351	960
268	352	958
269	353	955
270	354	953
271	355	950
272	356	948
273	357	946
274	357	943
275	358	941
276	359	939
277	360	936
278	361	933
279	362	930
280	362	928
281	364	926
282	364	924
283	365	922
284	366	919
285	367	917
286	368	914
287	368	912
288	369	910
289	370	908
290	371	905
291	372	903
292	373	901
293	374	898
294	375	896
295	375	893
296	376	891
297	377	889
298	378	887
299	379	885
300	380	883
301	381	881
302	382	879
303	383	877
304	384	875
305	385	873
306	386	871
307	387	870
308	388	868
309	389	867
310	390	866
311	391	864
312	392	861
313	393	859
314	394	857
315	395	855
316	396	853
317	397	851
318	397	849
319	398	847
320	399	845
321	400	843
322	401	842
323	402	840
324	403	838
325	404	836
326	405	834
327	406	832
328	407	830
329	408	828
330	408	826
331	409	824
332	410	822
333	411	820
334	412	818
335	413	816
336	413	814
337	414	812
338	415	810
339	416	808
340	417	806
341	418	804
342	419	802
343	420	801
344	421	799
345	422	797
346	423	796
347	423	794
348	424	792
349	425	790
350	426	788
351	427	786
352	428	784
353	429	782
354	429	781
355	430	778
356	431	776
357	432	774
358	433	773
359	434	771
360	434	769
361	435	767
362	436	765
363	437	763
364	438	762
365	438	760
366	440	759
367	441	757
368	442	756
369	443	754
370	444	752
371	444	750
372	445	749
373	446	747
374	447	746
375	448	744
376	449	742
377	449	740
378	450	738
379	452	737
380	453	736
381	454	734
382	454	732
383	455	730
384	456	729
385	457	727
386	458	726
387	459	725
388	460	723
389	461	722
390	462	720
391	463	719
392	464	717
393	465	715
394	466	714
